SMILES,Name
CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CNCCCn4ccnc4)cc3)nc2n1,AKT1_159
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccccc1F,AKT1_160
NC(=O)c1ccc(NC[C@@H]2CCNC2)c2cncnc12,AKT1_161
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNCC4CCOCC4)c4ccc(Cl)cc4)CC3)c21,AKT1_162
C[C@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)c(F)c(=S)[nH]1,AKT1_163
CCc1nc2c(c3cc(OC)c(OC)cc13)C(=O)NC2=O,AKT1_164
Cn1c(-c2ccnc(Nc3ccc(O)cc3)n2)nc2ccccc21,AKT1_165
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccccc1OCCN1CCCC1,AKT1_166
N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,AKT1_167
Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2-c2cccnc2)CC1,AKT1_168
CC1Cc2c(Cl)cccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)n1C,AKT1_169
O=C1C[C@H]2OCC3=C(C(=O)c4ccccc4C3=O)[C@H]2O1,AKT1_170
CC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ccc(C(=O)NCCO)cc3-4)cc2)C1,AKT1_171
N[C@H](COc1cncc(-c2ccc3[nH]nc(Cl)c3c2)c1)Cc1c[nH]c2ccccc12,AKT1_172
CC(C)(CO)c1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4n3CCC4)nn12,AKT1_173
Cn1c(CC(=O)N2CCc3ccccc32)nc(N2CCOCC2)cc1=O,AKT1_174
Cc1ccc(-n2nc(C)c3c(=O)c4cc(Cl)ccc4n(O)c32)cc1,AKT1_175
COc1ncc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCC(N)=O)CC3)c2=O)cn1,AKT1_176
CC1Cc2c(ccc(F)c2Cl)N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,AKT1_177
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c(F)cc(F)cc21,AKT1_178
O=C(Cc1nc(-c2ccncc2)cc(=O)[nH]1)N1CCc2c(F)cccc21,AKT1_179
O=c1c(NCc2ccc(Cl)c(Cl)c2)c(Nc2ccncc2)c1=O,AKT1_180
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,AKT1_181
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3ccccc3)cn2CCN2CCC2)CC1,AKT1_182
COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,AKT1_183
Brc1ccc2c(c1)-c1[nH]ncc1C2,AKT1_184
Cc1n[nH]c2ccc(-c3cc(OC[C@@H](N)Cc4c[nH]c5ncccc45)cnc3-c3ccoc3)cc12,AKT1_185
COc1cc2c(cc1Nc1nc(Nc3cccc4c3C(=O)NC4)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2,AKT1_186
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,AKT1_187
CN(C)CCOc1ccc(/C=C/c2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1,AKT1_188
O=C1C(Nc2ccc(C(F)(F)F)cc2)=C(Cl)C(=O)c2[nH]ncc21,AKT1_189
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cc(C(F)(F)F)ccc4F)c3)cc12,AKT1_190
Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2C#N)CC1,AKT1_191
CC(C)NCC(Cc1ccc(Cl)c(F)c1)C(=O)N1CCN(c2ncnc3c2[C@H](C)SC3)CC1,AKT1_192
CCCC(=O)Nc1n[nH]c2ccc(-c3cccc(F)c3F)cc12,AKT1_193
NC(COc1cncc(-c2cc3cnccc3s2)c1)Cc1c[nH]c2ccccc12,AKT1_194
O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1,AKT1_195
CC(C)CNCCn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2C(N)=O)CC1,AKT1_196
COCc1c(C)c(O)c(O)c(O)c1C=O,AKT1_197
CSc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,AKT1_198
Cc1cc2nnc(SCc3cn4ccccc4n3)n2c2ccccc12,AKT1_199
O=c1[nH][nH]c2cccc(-c3ccccc3)c12,AKT1_200
Cc1n[nH]c2ccc(-c3cncc(SC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,AKT1_201
Cc1c[nH]c2ncnc(N3CCC(N)(CNC(=O)c4ccccc4)C3)c12,AKT1_202
O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)C1CCC1,AKT1_203
Cn1c(-c2ccnc(Nc3cccc(O)c3)n2)nc2ccccc21,AKT1_204
CCC[C@H]1O[C@H](CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O,AKT1_205
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc(Cl)c1,AKT1_206
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,AKT1_207
CC(=O)Nc1cc2ccccn2n1,AKT1_208
COc1cccc(Cn2cnc3ccc(-c4cn[nH]c4)cc3c2=O)c1,AKT1_209
Nc1n[nH]c2c(Cl)cccc12,AKT1_210
CC1=NN(c2cccc(Br)c2)C(=O)C1=Cc1c(C)c(C#N)c2nc3ccccc3n2c1O,AKT1_211
COCCN(C)Cc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,AKT1_212
NCC1(c2ccc(Cl)c(Cl)c2)CCN(c2cc(N)ncn2)CC1,AKT1_213
Cn1nc(C(F)(F)F)c2c(=O)c3cc(Cl)ccc3n(O)c21,AKT1_214
CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2CC(C)C(=O)N3)CC1)c1ccc(Cl)cc1,AKT1_215
COc1cc(C=C(C#N)c2nc3ccccc3[nH]2)c(Br)cc1O,AKT1_216
NC(=O)c1ccc(NCCc2cccc(F)c2)c2cncnc12,AKT1_217
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc(OC(F)(F)F)c1,AKT1_218
O=c1[nH]c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)nc1Cc1ccccc1,AKT1_219
Clc1ccc(-c2ccc(-c3nccn3-c3ccc(N4CCNCC4)cc3)o2)cc1,AKT1_220
NC(Cc1cccc2ccccc12)C(=O)Nc1cncc(C=Cc2ccncc2)c1,AKT1_221
N#Cc1cc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)ccc1F,AKT1_222
CC1Cc2cc(F)ccc2N1C(=O)Cc1nc(N2CCOCC2)c(F)c(=O)[nH]1,AKT1_223
Cc1ccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)cc1C,AKT1_224
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)c3)cc12,AKT1_225
CN1CCN(CCCNc2cccc(-c3nc4c(C(N)=O)cccc4[nH]3)n2)CC1,AKT1_226
CC1CN(c2cc(=O)[nH]c(CC(=O)N3CCc4c(F)cccc43)n2)CCO1,AKT1_227
Cn1cc(C(CN)c2cncc(C=Cc3ccncc3)c2)c2ccccc21,AKT1_228
NC(=O)c1ccc(N2CCC(c3cccc(C(F)(F)F)c3)C(N)C2)c2cncnc12,AKT1_229
Cc1cccc([C@@H]2CN(c3ccc(C(N)=O)c4ncncc34)C[C@H]2CO)c1,AKT1_230
Cc1n[nH]c2ccc(-c3cncc(OCC(CN)Cc4ccccc4)c3)cc12,AKT1_231
Cc1occc1-c1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2[nH]nc(C)c2c1,AKT1_232
N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ccnc3cc[nH]c23)CC1,AKT1_233
CCC[C@H]1O[C@@H]2CC(=O)O[C@@H]2C2=C1C(=O)c1ccccc1C2=O,AKT1_234
O=c1[nH]cnc2c1sc1c(Cl)ccc(Cl)c12,AKT1_235
CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc(SC(F)(F)F)cc3)cnn2C)cn1,AKT1_236
Cc1ccc2[nH]c(/C=C/C(=O)c3c(-c4ccccc4)c4cc(Cl)ccc4[nH]c3=O)nc2c1,AKT1_237
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCN)cnc(N)c34)cc2)c1,AKT1_238
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)c4ccccc4)c3)cc12,AKT1_239
N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1,AKT1_240
Nc1ncnc(N2CCC(c3nc(-c4ccc(F)c(C(F)(F)F)c4)cn3CCN3CCCC3)CC2)c1-c1ccc(F)c(F)c1,AKT1_241
